PLOT_BID,CROSS_GROUP,BREEDER_CODE,SOURCE,PEDIGREE,ORIGIN,CROSS_NAME,BARCODE,EL,FMATR,LNTH,MIC,SFC,STRN,UNIF,PLOT_BID1,SCW,LINT,FSW,LP,TRUN_OUT,BSW
P00000000879546252836483,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836483,6,88,1.301,4.87,5.1,27.3,86.4,P00000000879546252836483,82.8,27.6,53.4,34.07,33.33,42.8
P00000000879546252836484,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836484,7.3,87,1.3,4.89,5.3,36.6,86.7,P00000000879546252836484,113,39.7,71.7,35.64,35.13,58.4
P00000000879546252836485,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836485,5.5,90,1.207,5.47,6,38.9,85.7,P00000000879546252836485,108.9,40.5,66.7,37.78,37.19,56.7
P00000000879546252836486,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836486,8.2,86,1.229,4.48,5.9,37.9,86.6,P00000000879546252836486,90.4,29.4,58.8,33.33,32.52,47
P00000000879546252836487,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836487,6.6,93,1.249,7.26,6.1,32.1,85.4,P00000000879546252836487,129.8,50.9,75.9,40.14,39.21,62.9
P00000000879546252836488,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836488,7.4,87,1.292,4.88,5.4,42.1,86.5,P00000000879546252836488,94.2,32.1,60.7,34.59,34.08,48.1
P00000000879546252836489,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836489,7.3,85,1.276,4.28,5.4,27.9,84.4,P00000000879546252836489,61.5,20.1,39.2,33.9,32.68,29.9
P00000000879546252836490,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836490,6.1,86,1.283,4.1,5.4,37.7,85.6,P00000000879546252836490,108.7,35.9,70.7,33.68,33.03,55.3
P00000000879546252836491,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836491,6.2,88,1.225,4.85,6.2,34.9,86.5,P00000000879546252836491,98.2,35.9,60.7,37.16,36.56,50.1
P00000000879546252836492,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836492,7.7,85,1.321,4.05,5.1,34.3,86.9,P00000000879546252836492,105.1,41.7,61.2,40.52,39.68,48.8
P00000000879546252836493,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836493,7.4,87,1.298,4.86,5.5,32.7,85.3,P00000000879546252836493,108.3,45.3,62.3,42.1,41.83,53.7
P00000000879546252836494,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836494,6.4,86,1.317,4.28,4.7,32.9,86.6,P00000000879546252836494,107.7,37,68.9,34.94,34.35,54.9
P00000000879546252836495,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836495,8.2,84,1.277,4.01,5.9,34.2,85,P00000000879546252836495,95.9,35,59.2,37.15,36.5,48.3
P00000000879546252836496,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836496,7.9,85,1.264,4.31,6.7,33.9,84.7,P00000000879546252836496,112.4,37.7,72.7,34.15,33.54,56.9
P00000000879546252836497,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836497,6.2,85,1.339,3.56,5,33.3,85.4,P00000000879546252836497,99.8,30.6,67,31.35,30.66,54.3
P00000000879546252836498,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836498,6.7,86,1.319,4.18,4.9,31.9,85.9,P00000000879546252836498,95.2,33.3,60.3,35.58,34.98,50
P00000000879546252836499,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836499,8.2,85,1.251,4.39,6.7,34.7,85.5,P00000000879546252836499,112,43.2,67.5,39.02,38.57,55.5
P00000000879546252836500,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836500,9.2,85,1.191,4.56,6.3,34.3,86.2,P00000000879546252836500,84.1,32,51.1,38.51,38.05,41.6
P00000000879546252836501,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836501,6,86,1.346,4.11,4.7,31,85.6,P00000000879546252836501,89.1,28.1,59.9,31.93,31.54,46.9
P00000000879546252836502,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836502,6.1,88,1.23,5.15,6.9,33.7,83.7,P00000000879546252836502,76.9,26.8,48.4,35.64,34.85,39.2
P00000000879546252836503,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836503,5.8,87,1.236,4.61,6.4,32.3,85.7,P00000000879546252836503,105.3,39.8,63.9,38.38,37.8,51.6
P00000000879546252836504,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836504,6.1,87,1.268,4.65,5.7,32.9,85.5,P00000000879546252836504,97.3,30.8,64.7,32.25,31.65,53.5
P00000000879546252836505,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836505,6.6,87,1.22,4.7,7,31.7,84.8,P00000000879546252836505,107.2,43.4,62.1,41.14,40.49,48.4
P00000000879546252836506,G13N030,G,14 04 EY CG GCBAGH-PELON_00039_00012_1_@_$,EY_08Z353/11V069:[&27].@$@$,08Z353/11V069,G13N030,P00000000879546252836506,8.4,84,1.242,3.86,6.1,33.1,86.2,P00000000879546252836506,103.2,35.1,66.5,34.55,34.01,55.4
