PLOT_BID,CROSS_GROUP,BREEDER_CODE,SOURCE,PEDIGREE,ORIGIN,CROSS_NAME,BARCODE,EL,FMATR,LNTH,MIC,SFC,STRN,UNIF,PLOT_BID1,SCW,LINT,FSW,LP,TRUN_OUT,BSW
P00000000879546252840666,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840666,5.5,88,1.215,4.87,7.4,33.7,84.6,P00000000879546252840666,87.2,35,50.8,40.79,40.14,40.2
P00000000879546252840667,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840667,7.6,87,1.265,5.17,5.7,31.7,85.4,P00000000879546252840667,83,30.3,50.9,37.32,36.51,41.5
P00000000879546252840668,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840668,6.6,87,1.278,4.77,5.5,36,84.6,P00000000879546252840668,106.8,44.2,60.1,42.38,41.39,49.7
P00000000879546252840669,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840669,5.2,87,1.258,4.41,6.6,36.2,83.9,P00000000879546252840669,79.3,30.7,47.1,39.46,38.71,39.1
P00000000879546252840670,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840670,6.1,91,1.268,6.18,6.1,33,85.1,P00000000879546252840670,52.4,19.4,31,38.49,37.02,23.7
P00000000879546252840671,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840671,7.5,88,1.232,5.25,6,35.9,86.8,P00000000879546252840671,126.2,43.7,79.8,35.38,34.63,68.3
P00000000879546252840672,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840672,6,89,1.268,5.01,5.5,42.3,86.2,P00000000879546252840672,87.5,30.1,54.6,35.54,34.4,44.6
P00000000879546252840673,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840673,6.2,90,1.223,5.78,5.4,42.5,86.9,P00000000879546252840673,73.5,26,44.3,36.98,35.37,36.8
P00000000879546252840674,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840674,6.9,90,1.258,6.07,7.4,32.7,83.7,P00000000879546252840674,79.8,27.5,49.4,35.76,34.46,37.2
P00000000879546252840675,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840675,6.3,89,1.31,5.28,4.9,35.4,86.3,P00000000879546252840675,99.6,31.1,65.1,32.33,31.22,52.3
P00000000879546252840676,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840676,7.1,88,1.279,5.26,5.4,36.7,84.9,P00000000879546252840676,64.6,24.9,38.3,39.4,38.54,30.4
P00000000879546252840677,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840677,6.2,89,1.281,5.24,5.6,37.4,85.3,P00000000879546252840677,95.8,37.5,56.7,39.81,39.14,48.8
P00000000879546252840678,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840678,7.3,87,1.182,4.63,6.3,40.8,85.1,P00000000879546252840678,61.1,24.1,36.2,39.97,39.44,29
P00000000879546252840679,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840679,5.5,86,1.283,3.97,5.7,37.7,84.7,P00000000879546252840679,112.4,41,70.1,36.9,36.48,56
P00000000879546252840680,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840680,6.6,89,1.226,5.29,6.1,37.3,84.7,P00000000879546252840680,110.5,41,68.3,37.51,37.1,56
P00000000879546252840681,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840681,7.1,82,1.277,2.84,6.4,36.4,84.5,P00000000879546252840681,46.1,17,28.2,37.61,36.88,18.6
P00000000879546252840682,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840682,7.5,87,1.227,4.99,6.2,38.5,86,P00000000879546252840682,53.1,20.5,29.5,41,38.61,23
P00000000879546252840683,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840683,7.5,88,1.256,5.27,6.4,32.2,85.3,P00000000879546252840683,75.1,26.6,46.6,36.34,35.42,38.3
P00000000879546252840684,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840684,7.1,91,1.237,6.33,5.7,36.8,86.1,P00000000879546252840684,107.3,36.5,67,35.27,34.02,53.8
P00000000879546252840685,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840685,6.1,89,1.273,5.15,5.4,37.2,85.1,P00000000879546252840685,86.8,32,53.6,37.38,36.87,42.5
P00000000879546252840686,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840686,6.2,90,1.231,5.94,10.9,24,80.1,P00000000879546252840686,40.8,13.8,25.8,34.85,33.82,16.1
P00000000879546252840687,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840687,5.5,85,1.24,3.44,8.7,36.6,82.5,P00000000879546252840687,54.9,19.7,34.2,36.55,35.88,24.4
P00000000879546252840688,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840688,6.4,87,1.319,4.42,4.7,40.8,86.3,P00000000879546252840688,113.9,42.6,70.1,37.8,37.4,55.3
P00000000879546252840689,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840689,5.9,91,1.149,6.12,5.6,37.7,85.2,P00000000879546252840689,63.5,22.3,38.8,36.5,35.12,30.9
P00000000879546252840690,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840690,7.9,87,1.272,5.11,5.5,36.7,87.2,P00000000879546252840690,105.1,33.4,69.1,32.59,31.78,55
P00000000879546252840691,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840691,6.4,88,1.207,4.83,6.6,34.2,84.8,P00000000879546252840691,79,31,46.9,39.79,39.24,37.6
P00000000879546252840692,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840692,7.5,88,1.291,5.43,5.4,34.2,85.7,P00000000879546252840692,48.7,16.2,31.5,33.96,33.26,24.4
P00000000879546252840693,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840693,5.9,90,1.302,5.41,4.9,43.2,87,P00000000879546252840693,104,39.5,62.8,38.61,37.98,50.8
P00000000879546252840694,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840694,5.2,88,1.23,4.55,5.6,41.4,86.4,P00000000879546252840694,63.2,22.9,39.8,36.52,36.23,32
P00000000879546252840695,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840695,6.2,89,1.261,5.4,5.4,36.8,86.4,P00000000879546252840695,111.8,42.1,68,38.24,37.66,56.9
P00000000879546252840696,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840696,5.5,91,1.119,5.8,8.4,37.8,82.9,P00000000879546252840696,101.1,44.4,55.3,44.53,43.92,46.8
P00000000879546252840697,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840697,6.3,89,1.269,5.29,7.2,31.9,82.9,P00000000879546252840697,97.6,37.9,56.7,40.06,38.83,47.1
P00000000879546252840698,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840698,6.9,86,1.282,4.4,6,35.5,84.3,P00000000879546252840698,63.7,23.9,38.3,38.42,37.52,30.4
P00000000879546252840699,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840699,7.2,89,1.278,5.41,5.4,38.4,85.8,P00000000879546252840699,98.2,38.5,55.3,41.04,39.21,45.1
P00000000879546252840700,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840700,7,86,1.175,4.37,7.1,33.6,83.8,P00000000879546252840700,69.7,26.2,42.3,38.25,37.59,30.8
P00000000879546252840701,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840701,7.7,87,1.325,5.1,4.8,36,85.5,P00000000879546252840701,56.8,21.9,33.8,39.32,38.56,26.2
P00000000879546252840702,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840702,6.3,86,1.298,3.97,4.8,36.2,87,P00000000879546252840702,54.7,19.7,34.3,36.48,36.01,25.8
P00000000879546252840703,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840703,5.6,89,1.248,5.21,6.1,41.9,86.1,P00000000879546252840703,83.9,32.3,50.5,39.01,38.5,41.5
P00000000879546252840704,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840704,8.1,86,1.227,4.6,6.8,41.4,86.2,P00000000879546252840704,115.1,48.1,64.1,42.87,41.79,49.5
P00000000879546252840705,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840705,6.8,88,1.235,4.98,6.4,35.8,85.5,P00000000879546252840705,99.1,36.9,59.7,38.2,37.24,48.5
P00000000879546252840706,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840706,7.4,89,1.231,5.61,6.1,33.8,85.7,P00000000879546252840706,110,41.2,65.4,38.65,37.45,46.2
P00000000879546252840707,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840707,6.7,90,1.279,5.69,5.2,39.6,86.4,P00000000879546252840707,69.9,24,44.6,34.99,34.33,35.6
P00000000879546252840708,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840708,6.4,86,1.312,4.12,5.1,38.7,85.8,P00000000879546252840708,86.2,34.5,50,40.83,40.02,35.5
P00000000879546252840709,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840709,7.1,88,1.177,5.32,6.1,38.9,84.5,P00000000879546252840709,126.7,44.8,79.5,36.04,35.36,64.4
P00000000879546252840710,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840710,7.4,90,1.296,6.26,5.2,32.2,86.1,P00000000879546252840710,53.6,19,32.9,36.61,35.45,24.4
P00000000879546252840711,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840711,6.5,87,1.334,4.5,4.5,33.5,84.5,P00000000879546252840711,138.2,53.6,82.6,39.35,38.78,67
P00000000879546252840712,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840712,6.9,86,1.138,4.1,8.6,36.1,83.7,P00000000879546252840712,42.4,16.5,23.9,40.84,38.92,17.3
P00000000879546252840713,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840713,6.5,88,1.229,4.99,5.7,40.9,86.2,P00000000879546252840713,41.2,14.7,25.7,36.39,35.68,20.6
P00000000879546252840714,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840714,6.6,88,1.22,4.82,6.7,37,84.3,P00000000879546252840714,49.4,17.7,29.1,37.82,35.83,21.3
P00000000879546252840715,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840715,7,82,1.305,2.89,5.6,34.8,83.6,P00000000879546252840715,45.2,15.2,29.2,34.23,33.63,18.4
P00000000879546252840716,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840716,8.5,88,1.251,5.61,5.6,38.8,86.7,P00000000879546252840716,119.9,41.7,75,35.73,34.78,62.1
P00000000879546252840717,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840717,6.3,87,1.195,4.47,6.9,34.3,84.4,P00000000879546252840717,66.9,27.3,38.2,41.68,40.81,30.8
P00000000879546252840718,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840718,5.7,87,1.302,4.48,5.2,33.4,86,P00000000879546252840718,124.6,50,72.4,40.85,40.13,60
P00000000879546252840719,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840719,7,89,1.198,5.42,7.2,34.7,84.6,P00000000879546252840719,46.8,18.5,27.7,40.04,39.53,21.4
P00000000879546252840720,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840720,6.5,88,1.246,4.91,6.8,34.7,83.9,P00000000879546252840720,44.6,16,27.4,36.87,35.87,21.2
P00000000879546252840721,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840721,7.9,84,1.283,3.77,5.8,40.8,85.3,P00000000879546252840721,46.7,16.9,28.9,36.9,36.19,20
P00000000879546252840722,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840722,6.3,89,1.273,5.32,6.4,30.9,83.8,P00000000879546252840722,64.5,22.1,39.4,35.93,34.26,27.5
P00000000879546252840723,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840723,5.8,89,1.258,5.21,5.7,37.2,85.5,P00000000879546252840723,80.8,32.2,47.7,40.3,39.85,38.4
P00000000879546252840724,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840724,7.2,84,1.345,3.49,4.5,43.1,86.3,P00000000879546252840724,77.7,28.7,48.4,37.22,36.94,32.3
P00000000879546252840725,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840725,6.7,84,1.276,3.45,6.3,35.2,83.9,P00000000879546252840725,72.9,25.6,44,36.78,35.12,30.6
P00000000879546252840726,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840726,6.4,87,1.233,4.72,6.7,36.3,84.8,P00000000879546252840726,58.7,22,35.5,38.26,37.48,28.9
P00000000879546252840727,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840727,6.8,87,1.23,4.71,6.5,39.8,85.1,P00000000879546252840727,117.5,42.6,74,36.54,36.26,57.7
P00000000879546252840728,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840728,7.4,88,1.28,5.31,5.6,36.2,85.4,P00000000879546252840728,50,17.8,31.3,36.25,35.6,23.7
P00000000879546252840729,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840729,6.1,88,1.248,5.03,6.4,34.2,85.6,P00000000879546252840729,136.9,55,80.1,40.71,40.18,65
P00000000879546252840730,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840730,6.9,88,1.209,5.05,7,34.8,84.2,P00000000879546252840730,61.3,22.5,37.9,37.25,36.7,30.2
P00000000879546252840731,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840731,6.6,89,1.127,5.54,5.3,39.7,85.8,P00000000879546252840731,135.6,50.3,83.7,37.54,37.09,71.3
P00000000879546252840732,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840732,6,87,1.311,4.56,5,37.9,85.2,P00000000879546252840732,99,33.9,63.3,34.88,34.24,48.6
P00000000879546252840733,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840733,6.4,88,1.284,4.97,5,38,86.8,P00000000879546252840733,82.5,27.6,52.6,34.41,33.45,46.6
P00000000879546252840734,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840734,6.5,89,1.243,5.23,6.2,40.4,86.5,P00000000879546252840734,96.4,36.7,58.1,38.71,38.07,47
P00000000879546252840735,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840735,6.3,89,1.184,5.51,7.3,34,84.4,P00000000879546252840735,89.6,37.4,50.8,42.4,41.74,42.2
P00000000879546252840736,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840736,6.7,89,1.248,5.44,5.7,36,84.9,P00000000879546252840736,63.3,24.5,37.9,39.26,38.7,32.5
P00000000879546252840737,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840737,5.9,90,1.279,5.73,5.7,37.4,85.1,P00000000879546252840737,110.5,40.9,67.7,37.66,37.01,54.6
P00000000879546252840738,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840738,6.2,87,1.286,4.56,6,37,84.9,P00000000879546252840738,120.6,44.6,74.5,37.45,36.98,59.1
P00000000879546252840739,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840739,6,90,1.259,5.47,6.9,37.8,85.1,P00000000879546252840739,59.2,23.1,36,39.09,39.02,29.1
P00000000879546252840740,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840740,8.6,87,1.212,5.35,5.8,36.5,86.6,P00000000879546252840740,111.3,40.9,67.1,37.87,36.75,49.9
P00000000879546252840741,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840741,6.5,88,1.267,5.08,5.3,40.4,85.9,P00000000879546252840741,103.9,39.7,61.6,39.19,38.21,49.8
P00000000879546252840742,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840742,7.8,86,1.248,4.46,5.7,37.1,85.8,P00000000879546252840742,100.8,36.8,60.7,37.74,36.51,48.6
P00000000879546252840743,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840743,5.8,89,1.329,5.23,4.5,39.9,87.5,P00000000879546252840743,85.8,32.4,51.9,38.43,37.76,43.1
P00000000879546252840744,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840744,6.8,89,1.255,5.39,5.7,36.5,86.6,P00000000879546252840744,84,31.3,50.4,38.31,37.26,38.6
P00000000879546252840745,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840745,6.1,88,1.3,4.99,5,39.8,86.9,P00000000879546252840745,120.1,46.4,72.4,39.06,38.63,59.4
P00000000879546252840746,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840746,6.5,89,1.177,5.29,6.4,35.7,83.6,P00000000879546252840746,103.8,40.8,61.8,39.77,39.31,51.2
P00000000879546252840747,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840747,7,88,1.175,5.33,5.6,37.4,86.3,P00000000879546252840747,92.7,38.3,53.7,41.63,41.32,43.5
P00000000879546252840748,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840748,8,88,1.204,5.27,6.1,39.2,85,P00000000879546252840748,95.6,40.1,53.5,42.84,41.95,43.5
P00000000879546252840749,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840749,7.4,88,1.295,5.13,4.9,35.3,86.4,P00000000879546252840749,108.1,40.6,63.8,38.89,37.56,49.8
P00000000879546252840750,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840750,6.7,88,1.154,4.89,5.5,39.2,85.8,P00000000879546252840750,111.9,49.1,60.8,44.68,43.88,47.4
P00000000879546252840751,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840751,7.3,89,1.261,5.52,5.3,37.4,86.4,P00000000879546252840751,98.2,40.6,55.7,42.16,41.34,41.6
P00000000879546252840752,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840752,7.5,90,1.263,6.26,5.5,33.8,85.7,P00000000879546252840752,81.2,30.2,47.6,38.82,37.19,39.8
P00000000879546252840753,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840753,10.4,86,1.229,5.23,6.2,38.2,85.5,P00000000879546252840753,98.6,35.7,60.4,37.15,36.21,47
P00000000879546252840754,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840754,6.8,88,1.241,5.23,5.3,39,86.3,P00000000879546252840754,95.7,38.6,55.2,41.15,40.33,42.9
P00000000879546252840755,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840755,5.2,90,1.312,5.33,4.7,35.8,85,P00000000879546252840755,115.2,41.8,71.2,36.99,36.28,57.2
P00000000879546252840756,G13N005,G,14 04 EY CG GCBAGH-PELON_00076_00012_1_@_$,EY_11X458/06Z137:[&13].@$@$,11X458/06Z137,G13N005,P00000000879546252840756,6.5,90,1.214,5.59,6.7,41.3,86.2,P00000000879546252840756,88.5,33.5,52.2,39.09,37.85,42.2
